pregunta	opcion	resposta	feedback
¿Qué comando se utiliza para programar tareas periódicas en Linux?	['schedule', 'task', 'cron', 'time']	A resposta correcta é: cron	None
¿Qué comando se utiliza para copiar archivos y directorios preservando atributos y permisos en Linux?	['cp', 'mv', 'permsync', 'rsync']	A resposta correcta é: rsync	None
"¿Cuál es el comando para eliminar un directorio llamado ""old_dir"" y todos sus contenidos, incluyendo subdirectorios y archivos?"	['rmdir -p old_dir', 'rmdir old_dir', 'rm -r old_dir', 'rm old_dir']	A resposta correcta é: rm -r old_dir	None
Cuáles de los siguientes comandos permiten instalar programas y gestionar paquetes:	['dnf', 'yum', 'apt', 'Todos los anteriores']	A resposta correcta é: Todos los anteriores	Aunque en clase solo hemos hablado de apt (por que no tenemos tiempo de hablar de otros), existen otros como yum y brew que tienen el mismo propósito. De hecho, el comando yum aparece reflejado en las dispositivas:
Escribe el comando que usarías para desinstalar el paquete mysql de tu ordenador	[]	A resposta correcta é: sudo apt-get remove mysql	None
Escribe el comando que usarías para guardar la salida del comando date en el fichero /tmp/date	[]	A resposta correcta é: date >> /tmp/date	None
¿Qué hace el comando “cat quijote.txt | head -n 100 | tail 5” en un hipotético fichero?	['Muestra las 5 últimas líneas.Es decir: 95, 96 … 100.', 'Ninguna de las anteriores es correcta', 'Muestra las 5 primeras líneas empezando por la 0. Es decir: 01, 02, 03…05.', 'Muestra las 5 primeras líneas después de la 100. Es decir: 101, 102, 103…105.']	A resposta correcta é: Ninguna de las anteriores es correcta	Sin necesidad de ejecutar el comando, cat quijote.txt | head -n 100 cogería las 100 primeras líneas de nuestro fichero. A continuación a través de un pipe ('|') las cien primeras líneas serían enviadas al comando tail. Este comando escogería las últimas 5 líneas de las 100 líneas preseleccionadas 
En el supuesto de que un usuario tenga como directorio actual /var/www/html/myApp y quiera moverse a la carpeta /var/lib con un solo comando. ¿Cuál de los siguientes debería utilizar?	['Todos las respuestas son válidas', 'cd ./../../../lib', 'cd ../../.././lib', 'cd ../../../lib']	A resposta correcta é: Todos las respuestas son válidas	"Todas son verdaderas. cd ../../../lib ha sido la respuesta más escogida. Sin embargo, recordemos que ./ es un ""placebo"" dado que no nos mueve del directorio independientemente de donde se ponga:cd ./../../../libcd ../../.././lib"
"¿Qué comando usarías para mostrar las últimas 5 líneas de un archivo llamado ""archivo.txt""?"	['head -n 5 archivo.txt | cat', 'cat archivo.txt | head -5', 'tail -5 archivo.txt', 'cat archivo.txt & tail -5']	A resposta correcta é: tail -5 archivo.txt	None
Escribe el comando completo que usarías para ver el resultado de apt search mysql de forma paginada	[]	A resposta correcta é: apt search mysql | less	None
